Country,Year,Tree Cover Loss (ha),gfw_gross_emissions_co2e_all_gases__Mg
USA,2001,33.53702004,13488.01938
USA,2002,12.7115289,5197.980225
USA,2003,8.930563973,3485.291431
USA,2004,31.69462982,12482.50606
USA,2005,10.97109244,3989.38736
USA,2006,20.03894282,7146.086141
USA,2007,37.82837679,13239.75943
USA,2008,32.88491846,12882.43127
USA,2009,39.73140209,10709.23603
USA,2010,29.09822851,9082.833134
USA,2011,42.65465061,14517.52032
USA,2012,95.51215444,42829.35145
USA,2013,86.36717586,17017.02749
USA,2014,162.562739,45340.39277
USA,2015,265.618912,75503.0497
USA,2016,285.4659776,63011.42549
USA,2017,26.25086378,8662.671319
USA,2018,88.22689844,32812.32211
USA,2019,73.90977906,29420.21048
USA,2020,39.83882289,14262.17809
USA,2021,4.460829262,1787.714158
USA,2022,9.475707744,3782.401592
USA,2023,51.94217944,21778.94507
